"","RTLMP.HB_HOUSTON"
"2018-01-01 HE01",27.57
"2018-01-01 HE02",27.6975
"2018-01-01 HE03",27.535
"2018-01-01 HE04",27.965
"2018-01-01 HE05",28.6375
"2018-01-01 HE06",31.035
"2018-01-01 HE07",32.7575
"2018-01-01 HE08",32.2925
"2018-01-01 HE09",32.5875
"2018-01-01 HE10",39.14
"2018-01-01 HE11",40.42
"2018-01-01 HE12",40.0875
"2018-01-01 HE13",35.6975
"2018-01-01 HE14",31.2
"2018-01-01 HE15",28.1675
"2018-01-01 HE16",27.57
"2018-01-01 HE17",29.2675
"2018-01-01 HE18",37.385
"2018-01-01 HE19",42.755
"2018-01-01 HE20",42.265
"2018-01-01 HE21",40.49
"2018-01-01 HE22",35.63
"2018-01-01 HE23",31.5225
"2018-01-01 HE24",28.0475
"2018-01-02 HE01",27.4225
"2018-01-02 HE02",27.2525
"2018-01-02 HE03",27.0025
"2018-01-02 HE04",27.24
"2018-01-02 HE05",28.08
"2018-01-02 HE06",29.465
"2018-01-02 HE07",35.52
"2018-01-02 HE08",39.91
"2018-01-02 HE09",42.0525
"2018-01-02 HE10",44.375
"2018-01-02 HE11",47.69
"2018-01-02 HE12",48.4925
"2018-01-02 HE13",45.4975
"2018-01-02 HE14",44.225
"2018-01-02 HE15",44.7525
"2018-01-02 HE16",41.0325
"2018-01-02 HE17",43.875
"2018-01-02 HE18",55.09
"2018-01-02 HE19",51.9875
"2018-01-02 HE20",52.3775
"2018-01-02 HE21",53.4075
"2018-01-02 HE22",39.84
"2018-01-02 HE23",30.9925
"2018-01-02 HE24",28.465
"2018-01-03 HE01",34.26
"2018-01-03 HE02",33.7325
"2018-01-03 HE03",32.725
"2018-01-03 HE04",34.1275
"2018-01-03 HE05",39.405
"2018-01-03 HE06",43.9225
"2018-01-03 HE07",48.63
"2018-01-03 HE08",54.8625
"2018-01-03 HE09",47.415
"2018-01-03 HE10",69.4175
"2018-01-03 HE11",66.76
