"","ASM_DA_REGDOWN.ERCOT"
"2018-01-01 HE01",1
"2018-01-01 HE02",0.98
"2018-01-01 HE03",1
"2018-01-01 HE04",1
"2018-01-01 HE05",1
"2018-01-01 HE06",1.82
"2018-01-01 HE07",2.61
"2018-01-01 HE08",2.11
"2018-01-01 HE09",1.44
"2018-01-01 HE10",1.53
"2018-01-01 HE11",2.11
"2018-01-01 HE12",2.11
"2018-01-01 HE13",2.32
"2018-01-01 HE14",1.7
"2018-01-01 HE15",3.5
"2018-01-01 HE16",3.01
"2018-01-01 HE17",2.9
"2018-01-01 HE18",3.5
"2018-01-01 HE19",2.31
"2018-01-01 HE20",2.11
"2018-01-01 HE21",3.13
"2018-01-01 HE22",1.34
"2018-01-01 HE23",2.11
"2018-01-01 HE24",1.36
"2018-01-02 HE01",2
"2018-01-02 HE02",1
"2018-01-02 HE03",0.01
"2018-01-02 HE04",1
"2018-01-02 HE05",1.76
"2018-01-02 HE06",3.5
"2018-01-02 HE07",4
"2018-01-02 HE08",3.5
"2018-01-02 HE09",2.11
"2018-01-02 HE10",2.9
"2018-01-02 HE11",3.01
"2018-01-02 HE12",2.27
"2018-01-02 HE13",2.31
"2018-01-02 HE14",2.31
"2018-01-02 HE15",2.34
"2018-01-02 HE16",2.11
"2018-01-02 HE17",2.11
"2018-01-02 HE18",3.11
"2018-01-02 HE19",3.5
"2018-01-02 HE20",3.37
"2018-01-02 HE21",2.31
"2018-01-02 HE22",2.45
"2018-01-02 HE23",3.11
"2018-01-02 HE24",2
"2018-01-03 HE01",1.17
"2018-01-03 HE02",0.11
"2018-01-03 HE03",0.01
"2018-01-03 HE04",0.01
"2018-01-03 HE05",1
"2018-01-03 HE06",1
"2018-01-03 HE07",2.31
"2018-01-03 HE08",2
"2018-01-03 HE09",2
"2018-01-03 HE10",2
"2018-01-03 HE11",2.99
"2018-01-03 HE12",2.9
"2018-01-03 HE13",2.88
"2018-01-03 HE14",2.11
"2018-01-03 HE15",2.41
"2018-01-03 HE16",1.93
"2018-01-03 HE17",1.74
"2018-01-03 HE18",3.5
"2018-01-03 HE19",3.29
"2018-01-03 HE20",3.11
"2018-01-03 HE21",3.5
"2018-01-03 HE22",2.77
"2018-01-03 HE23",3.5
"2018-01-03 HE24",3.11
"2018-01-04 HE01",2.63
"2018-01-04 HE02",2
"2018-01-04 HE03",1.07
"2018-01-04 HE04",2
"2018-01-04 HE05",2.84
"2018-01-04 HE06",4.34
"2018-01-04 HE07",7.14
"2018-01-04 HE08",3.5
"2018-01-04 HE09",2.61
"2018-01-04 HE10",4.42
"2018-01-04 HE11",5.51
"2018-01-04 HE12",3.5
"2018-01-04 HE13",3.5
"2018-01-04 HE14",3.11
"2018-01-04 HE15",3.21
"2018-01-04 HE16",2.86
"2018-01-04 HE17",3.19
"2018-01-04 HE18",5.28
"2018-01-04 HE19",8.61
"2018-01-04 HE20",3.88
"2018-01-04 HE21",4.56
"2018-01-04 HE22",3.5
"2018-01-04 HE23",3.5
"2018-01-04 HE24",4.01
"2018-01-05 HE01",2.61
"2018-01-05 HE02",1.67
"2018-01-05 HE03",1
"2018-01-05 HE04",1
"2018-01-05 HE05",2.61
"2018-01-05 HE06",3.11
"2018-01-05 HE07",3.5
"2018-01-05 HE08",2
"2018-01-05 HE09",1.5
"2018-01-05 HE10",1.67
"2018-01-05 HE11",2.61
"2018-01-05 HE12",2.61
"2018-01-05 HE13",2
"2018-01-05 HE14",1.22
"2018-01-05 HE15",1.92
"2018-01-05 HE16",1
"2018-01-05 HE17",0.02
"2018-01-05 HE18",2.61
"2018-01-05 HE19",2.61
"2018-01-05 HE20",2.22
"2018-01-05 HE21",2.61
"2018-01-05 HE22",1.91
"2018-01-05 HE23",2.61
"2018-01-05 HE24",1.71
"2018-01-06 HE01",3.11
"2018-01-06 HE02",1.05
"2018-01-06 HE03",0.4
"2018-01-06 HE04",1
"2018-01-06 HE05",2.94
"2018-01-06 HE06",3.5
"2018-01-06 HE07",3.5
"2018-01-06 HE08",1
"2018-01-06 HE09",1
"2018-01-06 HE10",1
"2018-01-06 HE11",2
"2018-01-06 HE12",3
"2018-01-06 HE13",1
"2018-01-06 HE14",1
"2018-01-06 HE15",2.62
"2018-01-06 HE16",1
"2018-01-06 HE17",1.43
"2018-01-06 HE18",2.76
"2018-01-06 HE19",3.19
"2018-01-06 HE20",3.5
"2018-01-06 HE21",8.61
"2018-01-06 HE22",5.51
"2018-01-06 HE23",13.92
"2018-01-06 HE24",8.61
"2018-01-07 HE01",10
"2018-01-07 HE02",9.82
"2018-01-07 HE03",10
"2018-01-07 HE04",8.61
"2018-01-07 HE05",10
"2018-01-07 HE06",14.51
"2018-01-07 HE07",40.62
"2018-01-07 HE08",13.84
"2018-01-07 HE09",13.81
"2018-01-07 HE10",12
"2018-01-07 HE11",15
"2018-01-07 HE12",9.11
"2018-01-07 HE13",8.61
"2018-01-07 HE14",4.01
"2018-01-07 HE15",4.11
"2018-01-07 HE16",3.5
"2018-01-07 HE17",4
