"","ASM_DA_REGUP.ERCOT"
"2018-01-01 HE01",2.51
"2018-01-01 HE02",1.01
"2018-01-01 HE03",2.1
"2018-01-01 HE04",2.51
"2018-01-01 HE05",3.11
"2018-01-01 HE06",6.51
"2018-01-01 HE07",15.01
"2018-01-01 HE08",4.6
"2018-01-01 HE09",8.11
"2018-01-01 HE10",9.66
"2018-01-01 HE11",6.68
"2018-01-01 HE12",2.31
"2018-01-01 HE13",3
"2018-01-01 HE14",2.31
"2018-01-01 HE15",2.11
"2018-01-01 HE16",2.11
"2018-01-01 HE17",3
"2018-01-01 HE18",15
"2018-01-01 HE19",15.01
"2018-01-01 HE20",2.31
"2018-01-01 HE21",6.01
"2018-01-01 HE22",3
"2018-01-01 HE23",3
"2018-01-01 HE24",2.51
"2018-01-02 HE01",5.91
"2018-01-02 HE02",4
"2018-01-02 HE03",4
"2018-01-02 HE04",5
"2018-01-02 HE05",15.16
"2018-01-02 HE06",27.32
"2018-01-02 HE07",151.15
"2018-01-02 HE08",140
"2018-01-02 HE09",93.55
"2018-01-02 HE10",75
"2018-01-02 HE11",20.59
"2018-01-02 HE12",10.6
"2018-01-02 HE13",10.6
"2018-01-02 HE14",8.6
"2018-01-02 HE15",6.01
"2018-01-02 HE16",7.2
"2018-01-02 HE17",14.29
"2018-01-02 HE18",53.45
"2018-01-02 HE19",60.95
"2018-01-02 HE20",22.23
"2018-01-02 HE21",20.99
"2018-01-02 HE22",8.31
"2018-01-02 HE23",17.6
"2018-01-02 HE24",10.31
"2018-01-03 HE01",3.69
"2018-01-03 HE02",2.11
"2018-01-03 HE03",2.11
"2018-01-03 HE04",2.31
"2018-01-03 HE05",7.69
"2018-01-03 HE06",16.82
"2018-01-03 HE07",92.4
"2018-01-03 HE08",55.06
"2018-01-03 HE09",35.69
"2018-01-03 HE10",27.2
"2018-01-03 HE11",13.75
"2018-01-03 HE12",9.12
"2018-01-03 HE13",9.15
"2018-01-03 HE14",7.98
"2018-01-03 HE15",5.23
"2018-01-03 HE16",4.82
"2018-01-03 HE17",10.86
"2018-01-03 HE18",23.19
"2018-01-03 HE19",37
"2018-01-03 HE20",12.39
"2018-01-03 HE21",12.54
"2018-01-03 HE22",6.66
"2018-01-03 HE23",3.89
"2018-01-03 HE24",3
"2018-01-04 HE01",2
"2018-01-04 HE02",1.8
"2018-01-04 HE03",1.8
"2018-01-04 HE04",2.01
"2018-01-04 HE05",4
"2018-01-04 HE06",17.45
"2018-01-04 HE07",67.9
"2018-01-04 HE08",36.5
"2018-01-04 HE09",30.58
"2018-01-04 HE10",23.1
"2018-01-04 HE11",10.59
"2018-01-04 HE12",7.47
"2018-01-04 HE13",7.47
"2018-01-04 HE14",5.58
"2018-01-04 HE15",2.61
"2018-01-04 HE16",3
"2018-01-04 HE17",8.45
"2018-01-04 HE18",18.88
"2018-01-04 HE19",23.78
"2018-01-04 HE20",10.75
"2018-01-04 HE21",10.72
"2018-01-04 HE22",5.34
"2018-01-04 HE23",3.29
"2018-01-04 HE24",3
"2018-01-05 HE01",4
"2018-01-05 HE02",2.61
"2018-01-05 HE03",4
"2018-01-05 HE04",4
"2018-01-05 HE05",7.08
"2018-01-05 HE06",14.33
"2018-01-05 HE07",39.43
"2018-01-05 HE08",22.71
"2018-01-05 HE09",15.15
"2018-01-05 HE10",11.57
"2018-01-05 HE11",8.16
"2018-01-05 HE12",5.79
"2018-01-05 HE13",5.57
"2018-01-05 HE14",3.15
"2018-01-05 HE15",1.43
"2018-01-05 HE16",1.79
"2018-01-05 HE17",4.57
"2018-01-05 HE18",15.55
"2018-01-05 HE19",11.77
"2018-01-05 HE20",5.64
"2018-01-05 HE21",6.21
"2018-01-05 HE22",3.26
"2018-01-05 HE23",3
"2018-01-05 HE24",3
"2018-01-06 HE01",4
"2018-01-06 HE02",3.47
"2018-01-06 HE03",4
"2018-01-06 HE04",4
"2018-01-06 HE05",6
"2018-01-06 HE06",8.6
"2018-01-06 HE07",19.19
"2018-01-06 HE08",13.75
"2018-01-06 HE09",11.21
"2018-01-06 HE10",10.24
"2018-01-06 HE11",5.3
"2018-01-06 HE12",5.09
"2018-01-06 HE13",4.96
"2018-01-06 HE14",3.1
"2018-01-06 HE15",3
"2018-01-06 HE16",3
"2018-01-06 HE17",4.28
"2018-01-06 HE18",14.92
"2018-01-06 HE19",7.97
"2018-01-06 HE20",4.99
"2018-01-06 HE21",5.25
"2018-01-06 HE22",3.52
"2018-01-06 HE23",3
"2018-01-06 HE24",3
"2018-01-07 HE01",4
"2018-01-07 HE02",2.78
"2018-01-07 HE03",3.71
"2018-01-07 HE04",3.11
"2018-01-07 HE05",5
"2018-01-07 HE06",49.22
"2018-01-07 HE07",40.86
"2018-01-07 HE08",7.86
"2018-01-07 HE09",8.87
"2018-01-07 HE10",7.65
"2018-01-07 HE11",3.85
"2018-01-07 HE12",4.39
"2018-01-07 HE13",4.39
"2018-01-07 HE14",3.1
"2018-01-07 HE15",3
"2018-01-07 HE16",3.1
"2018-01-07 HE17",4.99
"2018-01-07 HE18",15
"2018-01-07 HE19",12.19
"2018-01-07 HE20",4.42
"2018-01-07 HE21",4.26
"2018-01-07 HE22",3.51
"2018-01-07 HE23",3.51
"2018-01-07 HE24",3.11
"2018-01-08 HE01",3.47
"2018-01-08 HE02",2.65
"2018-01-08 HE03",2.61
"2018-01-08 HE04",3.11
"2018-01-08 HE05",4.66
"2018-01-08 HE06",12.63
"2018-01-08 HE07",18.64
"2018-01-08 HE08",7.22
"2018-01-08 HE09",8.5
"2018-01-08 HE10",8.62
"2018-01-08 HE11",5.37
"2018-01-08 HE12",3.89
"2018-01-08 HE13",3
"2018-01-08 HE14",3.09
"2018-01-08 HE15",2.61
"2018-01-08 HE16",2.75
"2018-01-08 HE17",4.78
"2018-01-08 HE18",12.51
"2018-01-08 HE19",14.29
"2018-01-08 HE20",4.5
"2018-01-08 HE21",4
"2018-01-08 HE22",3.21
"2018-01-08 HE23",3
"2018-01-08 HE24",3.11
"2018-01-09 HE01",4
"2018-01-09 HE02",4
"2018-01-09 HE03",4
"2018-01-09 HE04",4
"2018-01-09 HE05",10
"2018-01-09 HE06",9.9
"2018-01-09 HE07",23.25
"2018-01-09 HE08",7.15
"2018-01-09 HE09",4.76
"2018-01-09 HE10",3.1
"2018-01-09 HE11",3
"2018-01-09 HE12",3.1
"2018-01-09 HE13",3
"2018-01-09 HE14",3.1
"2018-01-09 HE15",3
"2018-01-09 HE16",3
"2018-01-09 HE17",3.67
"2018-01-09 HE18",14.75
"2018-01-09 HE19",8.74
"2018-01-09 HE20",4
"2018-01-09 HE21",4
"2018-01-09 HE22",3
"2018-01-09 HE23",4.51
"2018-01-09 HE24",3
"2018-01-10 HE01",4
"2018-01-10 HE02",2.71
"2018-01-10 HE03",2.57
"2018-01-10 HE04",3.9
"2018-01-10 HE05",6.3
"2018-01-10 HE06",13.92
"2018-01-10 HE07",25
"2018-01-10 HE08",7.34
"2018-01-10 HE09",4.54
"2018-01-10 HE10",3.12
"2018-01-10 HE11",3.1
"2018-01-10 HE12",3
"2018-01-10 HE13",3
"2018-01-10 HE14",3
"2018-01-10 HE15",2.51
"2018-01-10 HE16",2.51
"2018-01-10 HE17",3.11
"2018-01-10 HE18",19.49
"2018-01-10 HE19",9.75
"2018-01-10 HE20",3.06
"2018-01-10 HE21",4
"2018-01-10 HE22",2.51
"2018-01-10 HE23",3
"2018-01-10 HE24",3
"2018-01-11 HE01",4
"2018-01-11 HE02",2.61
"2018-01-11 HE03",3.11
