"","ASM_RT_RSS.ERCOT"
"2018-01-01 HE01",31.01
"2018-01-01 HE02",0
"2018-01-01 HE03",0
"2018-01-01 HE04",0
"2018-01-01 HE05",0
"2018-01-01 HE06",0
"2018-01-01 HE07",0
"2018-01-01 HE08",0
"2018-01-01 HE09",0
"2018-01-01 HE10",0
"2018-01-01 HE11",0
"2018-01-01 HE12",0
"2018-01-01 HE13",0
"2018-01-01 HE14",0
"2018-01-01 HE15",0
"2018-01-01 HE16",0
"2018-01-01 HE17",0
"2018-01-01 HE18",0
"2018-01-01 HE19",0
"2018-01-01 HE20",0
"2018-01-01 HE21",0
"2018-01-01 HE22",0
"2018-01-01 HE23",0
"2018-01-01 HE24",0
"2018-01-02 HE01",0
"2018-01-02 HE02",0
"2018-01-02 HE03",0
"2018-01-02 HE04",0
"2018-01-02 HE05",0
"2018-01-02 HE06",0
"2018-01-02 HE07",0
"2018-01-02 HE08",0
"2018-01-02 HE09",0
"2018-01-02 HE10",0
"2018-01-02 HE11",0
"2018-01-02 HE12",0
"2018-01-02 HE13",0
"2018-01-02 HE14",0
"2018-01-02 HE15",0
"2018-01-02 HE16",0
"2018-01-02 HE17",0
"2018-01-02 HE18",0
"2018-01-02 HE19",0
"2018-01-02 HE20",0
"2018-01-02 HE21",0
"2018-01-02 HE22",0
"2018-01-02 HE23",0
"2018-01-02 HE24",0
"2018-01-03 HE01",0
"2018-01-03 HE02",0
"2018-01-03 HE03",0
"2018-01-03 HE04",0
"2018-01-03 HE05",0
"2018-01-03 HE06",0
"2018-01-03 HE07",0
"2018-01-03 HE08",0
"2018-01-03 HE09",0
"2018-01-03 HE10",0
"2018-01-03 HE11",0
"2018-01-03 HE12",0
"2018-01-03 HE13",0
"2018-01-03 HE14",0
"2018-01-03 HE15",0
"2018-01-03 HE16",0
"2018-01-03 HE17",0
"2018-01-03 HE18",0
"2018-01-03 HE19",0
"2018-01-03 HE20",0
"2018-01-03 HE21",0
"2018-01-03 HE22",0
"2018-01-03 HE23",0
"2018-01-03 HE24",0
"2018-01-04 HE01",0
"2018-01-04 HE02",0
"2018-01-04 HE03",0
"2018-01-04 HE04",0
"2018-01-04 HE05",0
"2018-01-04 HE06",0
"2018-01-04 HE07",0
"2018-01-04 HE08",0
"2018-01-04 HE09",0
"2018-01-04 HE10",0
"2018-01-04 HE11",0
"2018-01-04 HE12",0
"2018-01-04 HE13",0
"2018-01-04 HE14",0
"2018-01-04 HE15",0
"2018-01-04 HE16",0
"2018-01-04 HE17",0
"2018-01-04 HE18",0
"2018-01-04 HE19",0
"2018-01-04 HE20",0
"2018-01-04 HE21",0
"2018-01-04 HE22",0
"2018-01-04 HE23",0
"2018-01-04 HE24",0
"2018-01-05 HE01",0
"2018-01-05 HE02",0
"2018-01-05 HE03",0
"2018-01-05 HE04",0
"2018-01-05 HE05",0
"2018-01-05 HE06",0
"2018-01-05 HE07",0
"2018-01-05 HE08",0
"2018-01-05 HE09",0
"2018-01-05 HE10",0
"2018-01-05 HE11",0
"2018-01-05 HE12",0
"2018-01-05 HE13",0
"2018-01-05 HE14",0
"2018-01-05 HE15",0
"2018-01-05 HE16",0
"2018-01-05 HE17",0
"2018-01-05 HE18",0
"2018-01-05 HE19",0
"2018-01-05 HE20",0
"2018-01-05 HE21",0
"2018-01-05 HE22",0
"2018-01-05 HE23",0
"2018-01-05 HE24",0
"2018-01-06 HE01",0
"2018-01-06 HE02",0
"2018-01-06 HE03",0
"2018-01-06 HE04",0
"2018-01-06 HE05",0
"2018-01-06 HE06",0
"2018-01-06 HE07",0
"2018-01-06 HE08",0
"2018-01-06 HE09",0
"2018-01-06 HE10",0
"2018-01-06 HE11",0
"2018-01-06 HE12",0
"2018-01-06 HE13",0
"2018-01-06 HE14",0
"2018-01-06 HE15",0
"2018-01-06 HE16",0
"2018-01-06 HE17",0
"2018-01-06 HE18",0
"2018-01-06 HE19",0
"2018-01-06 HE20",0
"2018-01-06 HE21",0
"2018-01-06 HE22",0
"2018-01-06 HE23",0
"2018-01-06 HE24",0
"2018-01-07 HE01",0
"2018-01-07 HE02",0
"2018-01-07 HE03",0
"2018-01-07 HE04",0
"2018-01-07 HE05",0
"2018-01-07 HE06",0
"2018-01-07 HE07",0
"2018-01-07 HE08",0
"2018-01-07 HE09",0
"2018-01-07 HE10",0
"2018-01-07 HE11",0
"2018-01-07 HE12",0
"2018-01-07 HE13",0
"2018-01-07 HE14",0
"2018-01-07 HE15",0
"2018-01-07 HE16",0
"2018-01-07 HE17",0
"2018-01-07 HE18",0
"2018-01-07 HE19",0
"2018-01-07 HE20",0
"2018-01-07 HE21",0
"2018-01-07 HE22",0
"2018-01-07 HE23",0
"2018-01-07 HE24",0
"2018-01-08 HE01",0
"2018-01-08 HE02",0
"2018-01-08 HE03",0
"2018-01-08 HE04",0
"2018-01-08 HE05",0
"2018-01-08 HE06",0
"2018-01-08 HE07",0
"2018-01-08 HE08",0
"2018-01-08 HE09",0
"2018-01-08 HE10",0
"2018-01-08 HE11",0
"2018-01-08 HE12",0
"2018-01-08 HE13",0
"2018-01-08 HE14",0
"2018-01-08 HE15",0
"2018-01-08 HE16",0
"2018-01-08 HE17",0
"2018-01-08 HE18",0
"2018-01-08 HE19",0
"2018-01-08 HE20",0
"2018-01-08 HE21",0
"2018-01-08 HE22",0
"2018-01-08 HE23",0
"2018-01-08 HE24",0
"2018-01-09 HE01",0
"2018-01-09 HE02",0
"2018-01-09 HE03",0
"2018-01-09 HE04",0
"2018-01-09 HE05",0
"2018-01-09 HE06",0
"2018-01-09 HE07",0
"2018-01-09 HE08",0
"2018-01-09 HE09",0
"2018-01-09 HE10",0
"2018-01-09 HE11",0
"2018-01-09 HE12",0
"2018-01-09 HE13",0
"2018-01-09 HE14",0
"2018-01-09 HE15",0
"2018-01-09 HE16",0
"2018-01-09 HE17",0
"2018-01-09 HE18",0
"2018-01-09 HE19",0
"2018-01-09 HE20",0
"2018-01-09 HE21",0
"2018-01-09 HE22",0
"2018-01-09 HE23",0
"2018-01-09 HE24",0
"2018-01-10 HE01",0
"2018-01-10 HE02",0
"2018-01-10 HE03",0
"2018-01-10 HE04",0
"2018-01-10 HE05",0
"2018-01-10 HE06",0
"2018-01-10 HE07",0
"2018-01-10 HE08",0
"2018-01-10 HE09",0
"2018-01-10 HE10",0
"2018-01-10 HE11",0
"2018-01-10 HE12",0
"2018-01-10 HE13",0
"2018-01-10 HE14",0
"2018-01-10 HE15",0
"2018-01-10 HE16",0
"2018-01-10 HE17",0
"2018-01-10 HE18",0
"2018-01-10 HE19",0
"2018-01-10 HE20",0
"2018-01-10 HE21",0
"2018-01-10 HE22",0
"2018-01-10 HE23",0
"2018-01-10 HE24",0
"2018-01-11 HE01",0
"2018-01-11 HE02",0
"2018-01-11 HE03",0
"2018-01-11 HE04",0
"2018-01-11 HE05",0
"2018-01-11 HE06",0
"2018-01-11 HE07",0
"2018-01-11 HE08",0
"2018-01-11 HE09",0
"2018-01-11 HE10",0
"2018-01-11 HE11",0
"2018-01-11 HE12",0
"2018-01-11 HE13",0
"2018-01-11 HE14",0
"2018-01-11 HE15",0
"2018-01-11 HE16",0
"2018-01-11 HE17",0
"2018-01-11 HE18",0
"2018-01-11 HE19",0
"2018-01-11 HE20",0
"2018-01-11 HE21",0
"2018-01-11 HE22",0
"2018-01-11 HE23",0
"2018-01-11 HE24",0
"2018-01-12 HE01",0
"2018-01-12 HE02",0
"2018-01-12 HE03",0
"2018-01-12 HE04",0
"2018-01-12 HE05",0
"2018-01-12 HE06",0
"2018-01-12 HE07",0
"2018-01-12 HE08",0
"2018-01-12 HE09",0
"2018-01-12 HE10",0
"2018-01-12 HE11",0
"2018-01-12 HE12",0
"2018-01-12 HE13",0
"2018-01-12 HE14",0
"2018-01-12 HE15",0
"2018-01-12 HE16",0
"2018-01-12 HE17",0
"2018-01-12 HE18",0
"2018-01-12 HE19",0
"2018-01-12 HE20",0
"2018-01-12 HE21",0
"2018-01-12 HE22",0
"2018-01-12 HE23",0
"2018-01-12 HE24",0
"2018-01-13 HE01",0
"2018-01-13 HE02",0
"2018-01-13 HE03",0
"2018-01-13 HE04",0
"2018-01-13 HE05",0
"2018-01-13 HE06",0
"2018-01-13 HE07",0
"2018-01-13 HE08",0
"2018-01-13 HE09",0
"2018-01-13 HE10",0
"2018-01-13 HE11",0
"2018-01-13 HE12",0
"2018-01-13 HE13",0
"2018-01-13 HE14",0
"2018-01-13 HE15",0
"2018-01-13 HE16",0
"2018-01-13 HE17",0
"2018-01-13 HE18",0
"2018-01-13 HE19",0
"2018-01-13 HE20",0
"2018-01-13 HE21",0
"2018-01-13 HE22",0
"2018-01-13 HE23",0
"2018-01-13 HE24",0
"2018-01-14 HE01",0
"2018-01-14 HE02",0
"2018-01-14 HE03",0
"2018-01-14 HE04",0
"2018-01-14 HE05",0
"2018-01-14 HE06",0
"2018-01-14 HE07",0
"2018-01-14 HE08",0
"2018-01-14 HE09",0
"2018-01-14 HE10",0
"2018-01-14 HE11",0
"2018-01-14 HE12",0
"2018-01-14 HE13",0
"2018-01-14 HE14",0
"2018-01-14 HE15",0
"2018-01-14 HE16",0
"2018-01-14 HE17",0
"2018-01-14 HE18",0
"2018-01-14 HE19",0
"2018-01-14 HE20",0
"2018-01-14 HE21",0
"2018-01-14 HE22",0
"2018-01-14 HE23",0
"2018-01-14 HE24",0
"2018-01-15 HE01",0
"2018-01-15 HE02",0
"2018-01-15 HE03",0
"2018-01-15 HE04",0
"2018-01-15 HE05",0
"2018-01-15 HE06",0
"2018-01-15 HE07",0
"2018-01-15 HE08",0
"2018-01-15 HE09",0
"2018-01-15 HE10",0
"2018-01-15 HE11",0
"2018-01-15 HE12",0
"2018-01-15 HE13",0
"2018-01-15 HE14",0
"2018-01-15 HE15",0
"2018-01-15 HE16",0
"2018-01-15 HE17",0
"2018-01-15 HE18",0
"2018-01-15 HE19",0
"2018-01-15 HE20",0
"2018-01-15 HE21",0
"2018-01-15 HE22",0
"2018-01-15 HE23",0
"2018-01-15 HE24",0
"2018-01-16 HE01",0
"2018-01-16 HE02",0
"2018-01-16 HE03",0
"2018-01-16 HE04",0
"2018-01-16 HE05",0
"2018-01-16 HE06",0
"2018-01-16 HE07",0
"2018-01-16 HE08",0
"2018-01-16 HE09",0
"2018-01-16 HE10",0
"2018-01-16 HE11",0
"2018-01-16 HE12",0
"2018-01-16 HE13",0
"2018-01-16 HE14",0
"2018-01-16 HE15",0
"2018-01-16 HE16",0
"2018-01-16 HE17",0
"2018-01-16 HE18",0
"2018-01-16 HE19",0
"2018-01-16 HE20",0
"2018-01-16 HE21",0
"2018-01-16 HE22",0
"2018-01-16 HE23",0
"2018-01-16 HE24",0
"2018-01-17 HE01",0
"2018-01-17 HE02",0
"2018-01-17 HE03",0
"2018-01-17 HE04",0
"2018-01-17 HE05",0
"2018-01-17 HE06",0
"2018-01-17 HE07",0
"2018-01-17 HE08",0
"2018-01-17 HE09",0
"2018-01-17 HE10",0
"2018-01-17 HE11",0
"2018-01-17 HE12",0
"2018-01-17 HE13",0
"2018-01-17 HE14",0
"2018-01-17 HE15",0
"2018-01-17 HE16",0
"2018-01-17 HE17",0
"2018-01-17 HE18",0
"2018-01-17 HE19",0
"2018-01-17 HE20",0
"2018-01-17 HE21",0
"2018-01-17 HE22",0
"2018-01-17 HE23",50
"2018-01-17 HE24",50
"2018-01-18 HE01",0
"2018-01-18 HE02",0
"2018-01-18 HE03",0
"2018-01-18 HE04",0
